worker,task,answer
0.0,0,0
0.0,5,1
0.0,6,1
0.0,16,1
0.0,24,0
0.0,25,0
0.0,42,1
0.0,48,0
2.0,1,1
2.0,9,0
2.0,15,1
2.0,37,1
2.0,48,1
3.0,4,1
3.0,13,0
3.0,22,0
3.0,36,1
3.0,39,1
3.0,48,0
4.0,2,1
4.0,3,1
4.0,11,1
4.0,13,1
4.0,21,1
4.0,39,0
4.0,40,0
4.0,42,0
4.0,48,0
4.0,49,1
8.0,4,1
8.0,8,1
8.0,9,0
8.0,16,1
8.0,21,0
8.0,23,1
8.0,24,1
8.0,33,1
8.0,39,0
8.0,47,1
15.0,4,0
15.0,9,0
15.0,15,1
15.0,17,1
15.0,22,0
15.0,24,0
15.0,36,1
15.0,46,1
15.0,47,0
16.0,0,1
16.0,7,1
16.0,9,0
16.0,19,0
16.0,24,0
16.0,26,1
16.0,36,1
16.0,39,1
16.0,41,1
16.0,48,1
21.0,8,1
21.0,18,1
21.0,25,0
21.0,29,0
21.0,30,0
21.0,32,1
21.0,41,0
21.0,42,1
28.0,0,0
28.0,6,0
28.0,7,0
28.0,11,0
28.0,15,1
28.0,16,0
28.0,18,1
28.0,27,1
28.0,33,0
28.0,34,1
28.0,41,0
28.0,43,1
30.0,0,1
30.0,5,1
30.0,12,0
30.0,13,0
30.0,21,1
30.0,23,1
30.0,29,1
30.0,31,0
30.0,32,0
30.0,45,0
34.0,7,1
34.0,22,0
34.0,28,1
34.0,29,0
34.0,32,1
34.0,33,0
34.0,38,1
34.0,46,1
34.0,47,0
35.0,4,1
35.0,5,0
35.0,11,0
35.0,16,0
35.0,18,0
35.0,24,1
35.0,26,0
35.0,45,1
36.0,5,0
36.0,8,1
36.0,11,0
36.0,17,0
36.0,18,0
36.0,19,0
36.0,20,1
36.0,21,0
36.0,24,1
36.0,25,1
36.0,26,0
36.0,29,0
36.0,36,0
39.0,3,1
39.0,12,1
39.0,24,0
39.0,25,1
39.0,26,0
39.0,33,1
39.0,37,0
39.0,38,1
39.0,40,1
39.0,46,1
39.0,48,0
43.0,1,1
43.0,2,1
43.0,12,1
43.0,15,0
43.0,27,1
43.0,29,0
43.0,33,1
43.0,35,1
43.0,36,1
43.0,39,0
44.0,6,1
44.0,10,1
44.0,13,1
44.0,16,1
44.0,21,0
44.0,30,0
44.0,36,0
44.0,41,1
44.0,42,0
44.0,43,0
44.0,48,0
47.0,1,0
47.0,11,1
47.0,14,1
47.0,18,0
47.0,26,0
47.0,30,1
47.0,35,0
47.0,46,1
47.0,48,1
50.0,3,1
50.0,10,0
50.0,12,0
50.0,16,0
50.0,22,0
50.0,28,0
50.0,29,1
50.0,42,1
50.0,44,0
54.0,2,1
54.0,13,1
54.0,35,1
54.0,43,0
56.0,6,0
56.0,8,1
56.0,12,1
56.0,14,0
56.0,17,1
56.0,18,0
56.0,33,1
56.0,38,1
56.0,40,0
56.0,42,1
56.0,44,0
56.0,48,1
56.0,49,1
57.0,1,0
57.0,3,1
57.0,14,1
57.0,16,0
57.0,19,0
57.0,37,0
57.0,38,1
57.0,39,1
57.0,42,1
57.0,47,0
59.0,1,1
59.0,5,0
59.0,12,0
59.0,14,0
59.0,15,1
59.0,16,0
59.0,24,0
59.0,29,1
59.0,36,1
59.0,43,1
62.0,1,1
62.0,5,0
62.0,17,0
62.0,19,0
62.0,20,1
62.0,26,1
62.0,27,1
62.0,31,0
62.0,44,1
62.0,46,1
65.0,6,1
65.0,13,1
65.0,20,0
65.0,21,1
65.0,22,0
65.0,40,1
65.0,43,0
71.0,1,1
71.0,4,0
71.0,17,1
71.0,18,0
71.0,19,0
71.0,43,0
71.0,49,0
77.0,1,0
77.0,15,0
77.0,21,0
77.0,23,1
77.0,24,0
77.0,27,0
77.0,31,1
77.0,46,0
77.0,49,1
81.0,4,0
81.0,23,0
81.0,27,1
81.0,35,0
81.0,42,0
82.0,8,1
82.0,13,1
82.0,19,0
82.0,24,0
82.0,33,1
82.0,35,1
82.0,38,0
82.0,48,0
89.0,5,0
89.0,9,0
89.0,10,0
89.0,14,1
89.0,15,1
89.0,17,0
89.0,19,0
89.0,20,1
89.0,28,0
89.0,31,0
89.0,32,0
89.0,34,0
89.0,46,0
89.0,48,0
100.0,1,0
100.0,11,0
100.0,19,0
100.0,38,1
100.0,45,0
100.0,47,0
113.0,6,0
113.0,22,0
113.0,23,1
113.0,29,0
113.0,30,1
113.0,31,0
113.0,33,0
113.0,38,1
115.0,3,1
115.0,14,0
115.0,15,1
115.0,16,0
115.0,17,1
115.0,19,1
115.0,29,0
115.0,36,1
115.0,43,0
115.0,44,1
115.0,48,0
116.0,4,0
116.0,16,0
116.0,17,1
116.0,19,0
116.0,22,0
116.0,23,0
116.0,24,0
116.0,26,1
116.0,44,0
116.0,46,0
116.0,47,1
116.0,48,1
116.0,49,0
121.0,0,0
121.0,8,0
121.0,10,0
121.0,30,0
121.0,38,0
121.0,39,0
122.0,4,1
122.0,8,0
122.0,17,1
122.0,22,0
122.0,23,1
122.0,30,0
122.0,37,0
122.0,40,1
122.0,43,0
122.0,44,0
122.0,49,1
123.0,6,1
123.0,7,0
123.0,14,1
123.0,36,1
123.0,37,0
123.0,38,1
123.0,44,1
123.0,46,0
123.0,48,1
123.0,49,1
126.0,22,0
126.0,24,0
126.0,40,1
126.0,45,0
126.0,48,1
130.0,10,0
130.0,14,1
130.0,17,1
130.0,22,0
130.0,24,1
130.0,28,1
130.0,32,1
130.0,33,1
130.0,39,0
130.0,44,0
130.0,49,1
131.0,0,0
131.0,2,1
131.0,13,1
131.0,14,0
131.0,15,1
131.0,18,1
131.0,24,0
131.0,32,1
131.0,35,1
131.0,45,0
133.0,0,0
133.0,3,1
133.0,5,0
133.0,6,1
133.0,8,0
133.0,14,1
133.0,15,1
133.0,18,1
133.0,20,1
133.0,25,0
133.0,33,1
133.0,34,0
133.0,40,1
133.0,44,0
133.0,48,1
133.0,49,1
139.0,0,1
139.0,3,1
139.0,6,1
139.0,15,1
139.0,17,0
139.0,23,0
139.0,27,0
139.0,31,0
139.0,34,0
139.0,41,1
139.0,45,1
142.0,1,0
142.0,8,1
142.0,22,1
142.0,28,0
142.0,29,0
142.0,32,1
142.0,33,0
150.0,5,0
150.0,10,0
150.0,16,0
150.0,23,1
150.0,31,0
150.0,33,1
150.0,34,1
150.0,37,1
150.0,39,1
150.0,40,0
150.0,49,0
151.0,0,0
151.0,5,1
151.0,21,1
151.0,25,0
151.0,28,1
151.0,29,0
151.0,35,0
151.0,44,0
151.0,45,0
152.0,6,0
152.0,18,1
152.0,20,1
152.0,31,1
152.0,38,1
158.0,0,1
158.0,6,1
158.0,14,0
158.0,15,1
158.0,18,0
158.0,21,1
158.0,28,1
158.0,33,1
158.0,36,0
158.0,37,0
158.0,38,1
158.0,39,0
158.0,40,1
158.0,43,1
158.0,44,1
158.0,47,1
158.0,48,0
158.0,49,1
161.0,2,1
161.0,4,1
161.0,6,1
161.0,10,1
161.0,22,0
161.0,27,1
161.0,30,1
161.0,39,0
161.0,41,0
161.0,46,1
165.0,3,1
165.0,4,0
165.0,5,1
165.0,8,1
165.0,16,0
165.0,19,1
165.0,23,1
165.0,40,1
165.0,42,1
165.0,44,0
165.0,46,1
165.0,48,1
169.0,0,1
169.0,1,1
169.0,6,1
