task,truth
0,0
6,0
14,0
61,0
98,0
115,0
174,0
186,0
194,0
206,0
240,1
245,0
251,0
268,0
287,0
299,1
331,0
336,0
337,0
343,0
361,0
390,0
394,0
421,0
458,0
471,0
474,0
480,0
503,1
521,0
524,0
530,0
545,0
552,0
588,0
609,0
650,0
658,0
662,0
665,0
685,1
693,0
728,0
737,0
779,0
810,0
818,0
819,0
838,0
862,0
876,0
913,0
915,0
963,0
977,0
978,0
993,0
1026,0
1039,0
1055,0
1069,0
1126,0
1146,0
1161,0
1182,0
1196,0
1205,0
1207,0
1209,1
1214,0
1226,0
1229,0
1243,0
1252,0
1261,1
1289,1
1320,0
1391,0
1399,0
1425,0
1442,0
1443,0
1501,0
1543,0
1563,0
1624,0
1637,0
1658,0
1659,0
1687,0
1700,0
1765,0
1781,0
1892,0
1897,0
1899,0
1920,0
1922,0
1947,0
1977,1
