task,truth
4,0
55,0
88,0
109,0
127,0
130,0
147,0
155,0
162,0
169,0
177,1
196,0
218,0
237,0
243,0
248,1
279,0
285,0
291,0
292,0
298,0
308,0
317,0
335,0
368,1
376,0
380,0
408,0
423,0
441,1
447,0
478,0
484,0
500,0
504,0
513,0
515,0
526,1
544,0
559,1
561,0
581,0
591,0
607,0
611,0
629,0
668,0
695,0
696,0
719,1
744,1
778,0
851,0
856,1
861,0
907,0
930,0
969,0
971,0
981,0
982,0
1017,1
1018,1
1037,0
1213,0
1230,0
1235,0
1255,0
1291,0
1327,0
1356,1
1401,0
1410,0
1412,1
1449,0
1482,1
1531,1
1561,0
1566,0
1598,0
1619,0
1667,0
1674,0
1690,0
1710,0
1721,0
1724,0
1742,0
1759,0
1772,0
1802,0
1815,0
1821,0
1854,0
1898,1
1901,0
1916,0
1958,0
1962,0
1965,0
