task,truth
7,0
9,0
28,0
46,0
52,1
81,0
87,0
100,1
101,1
106,1
119,0
128,0
162,0
176,0
226,0
233,1
240,1
263,0
271,0
299,1
311,0
351,0
403,0
407,0
408,0
499,0
520,0
534,0
538,0
586,1
610,0
635,0
705,0
709,0
718,0
724,0
780,0
823,0
869,0
883,0
885,0
896,1
904,0
939,0
942,0
981,0
989,0
1008,0
1026,0
1043,0
1059,0
1082,0
1115,1
1116,0
1142,0
1149,0
1150,0
1157,0
1218,0
1237,0
1242,0
1294,1
1314,0
1320,0
1329,1
1345,0
1359,0
1381,0
1385,0
1387,0
1410,0
1430,0
1451,0
1455,1
1464,0
1471,0
1486,0
1512,0
1582,0
1593,0
1598,0
1621,0
1623,0
1648,0
1689,0
1747,0
1748,0
1749,0
1773,1
1824,0
1835,0
1861,1
1871,1
1907,0
1916,0
1935,0
1940,0
1945,0
1952,0
1957,0
