task,truth
52,1
87,0
110,0
160,0
168,1
219,0
222,0
247,0
255,1
267,0
273,0
279,0
305,0
327,0
340,0
361,0
370,0
374,0
418,0
429,0
430,0
433,0
435,1
457,0
458,0
463,0
478,0
510,0
552,0
566,0
591,0
595,0
614,0
618,0
672,0
681,0
726,0
732,0
737,0
784,0
818,0
833,0
853,0
854,0
867,1
875,0
903,0
913,0
952,0
978,0
1033,0
1049,0
1094,0
1106,1
1109,0
1115,1
1150,0
1173,1
1181,0
1187,1
1188,0
1215,0
1223,0
1246,1
1261,1
1267,0
1287,0
1299,0
1318,0
1345,0
1347,0
1357,0
1371,0
1390,0
1418,0
1422,0
1492,0
1508,0
1517,1
1528,0
1537,0
1585,0
1593,0
1596,1
1610,0
1631,1
1639,0
1648,0
1657,0
1661,0
1683,0
1706,0
1733,0
1764,0
1776,0
1803,1
1810,0
1865,0
1915,0
1918,0
