task,truth
3,0
7,0
36,0
41,0
78,1
91,0
96,0
132,0
176,0
195,0
245,0
268,0
273,0
281,0
307,0
316,1
369,0
372,0
391,0
394,0
403,0
413,0
425,0
483,0
492,0
518,0
533,0
554,0
564,0
573,0
578,0
604,0
610,0
630,0
683,0
689,0
740,0
742,0
798,0
799,0
812,0
890,0
891,0
899,0
901,0
903,0
920,0
927,0
933,0
934,0
959,0
961,0
978,0
1013,1
1034,1
1036,0
1051,0
1067,0
1071,0
1079,1
1139,0
1148,0
1179,0
1227,0
1298,0
1301,0
1316,0
1327,0
1360,0
1422,0
1495,0
1499,0
1522,0
1530,0
1532,0
1540,0
1560,0
1585,0
1586,0
1639,0
1641,0
1648,0
1660,0
1662,1
1684,0
1690,0
1719,1
1727,0
1730,0
1738,0
1745,0
1779,0
1843,0
1863,0
1871,1
1891,0
1895,0
1919,0
1941,0
1974,0
