task,truth
6,0
34,0
38,0
49,0
147,0
149,0
155,0
195,0
213,0
223,0
228,1
231,0
252,1
267,0
288,0
379,0
424,0
439,0
464,0
494,0
504,0
508,0
515,0
532,0
576,0
578,0
605,0
623,0
644,0
666,0
669,0
686,0
709,0
712,0
744,1
748,1
760,0
820,0
829,0
833,0
860,0
928,0
954,0
963,0
1004,1
1026,0
1035,0
1038,1
1042,0
1048,0
1096,0
1124,0
1127,0
1140,0
1141,0
1144,1
1189,0
1210,0
1213,0
1224,0
1227,0
1268,0
1297,0
1301,0
1313,0
1321,0
1395,0
1413,0
1429,0
1436,0
1457,0
1461,0
1481,1
1487,0
1501,0
1506,0
1517,1
1525,0
1543,0
1556,0
1581,0
1591,0
1637,0
1653,0
1676,0
1680,0
1686,0
1706,0
1745,0
1756,0
1765,0
1814,0
1880,0
1886,1
1921,0
1948,0
1954,0
1977,1
1982,0
1986,0
