task,truth
13,1
69,0
77,0
142,0
146,0
171,0
197,0
264,0
278,0
310,1
313,0
316,1
391,0
416,0
465,0
466,0
482,1
492,0
495,0
500,0
503,1
534,0
560,0
568,1
573,0
624,0
659,0
665,0
674,0
687,1
690,0
736,0
745,0
775,1
794,0
795,0
800,0
814,1
831,0
832,0
870,0
880,0
889,0
905,0
908,0
924,0
932,0
946,0
957,0
998,0
1001,0
1032,1
1063,1
1078,0
1081,0
1088,0
1089,0
1114,0
1119,1
1150,0
1154,0
1192,0
1205,0
1214,0
1257,1
1272,0
1276,0
1283,0
1318,0
1407,0
1414,0
1424,0
1442,0
1459,0
1468,0
1509,0
1513,0
1521,0
1528,0
1530,0
1531,1
1539,0
1552,0
1557,0
1561,0
1606,0
1612,0
1626,0
1632,1
1650,0
1681,0
1711,0
1735,0
1740,0
1776,0
1836,0
1845,0
1893,0
1931,0
1961,0
