task,truth
8,0
39,0
141,0
161,0
260,0
273,0
295,0
310,1
312,0
355,0
360,0
361,0
425,0
435,1
464,0
506,0
530,0
543,0
580,0
591,0
620,0
634,0
636,0
657,0
666,0
680,0
697,0
711,0
715,0
719,1
726,0
768,0
788,0
803,0
809,0
810,0
830,0
862,0
877,0
881,0
890,0
897,0
900,0
913,0
920,0
925,0
948,0
950,0
963,0
994,0
996,0
1003,0
1032,1
1078,0
1090,1
1092,0
1108,0
1113,0
1126,0
1144,1
1154,0
1159,0
1188,0
1191,0
1200,0
1214,0
1254,0
1256,0
1294,1
1308,0
1315,0
1330,1
1390,0
1423,0
1429,0
1440,0
1454,0
1535,0
1544,1
1571,0
1575,0
1596,1
1619,0
1663,0
1693,0
1707,0
1714,0
1740,0
1748,0
1766,0
1771,0
1780,1
1815,0
1839,0
1856,0
1876,0
1886,1
1908,0
1946,0
1981,0
