task,truth
13,1
60,1
90,0
125,0
141,0
155,0
202,0
222,0
261,0
282,0
293,0
332,0
387,1
394,0
400,0
452,0
454,0
468,0
500,0
513,0
571,0
588,0
593,0
603,0
614,0
638,0
735,0
759,0
779,0
786,0
794,0
821,1
829,0
854,0
861,0
862,0
874,1
876,0
907,0
911,0
952,0
954,0
963,0
966,1
981,0
999,0
1004,1
1008,0
1025,0
1043,0
1061,1
1082,0
1164,0
1168,0
1170,1
1175,1
1178,0
1191,0
1203,1
1208,0
1285,0
1289,1
1320,0
1321,0
1334,0
1349,0
1408,0
1415,0
1428,0
1458,0
1465,0
1473,0
1491,1
1496,1
1524,0
1546,1
1559,0
1561,0
1625,0
1628,0
1660,0
1685,1
1689,0
1691,1
1700,0
1734,0
1763,0
1766,0
1775,0
1807,0
1821,0
1823,1
1827,0
1840,0
1873,0
1885,0
1914,0
1962,0
1989,0
1993,0
