task,truth
4,0
7,0
51,0
68,0
85,0
120,0
142,0
151,0
178,0
205,0
210,0
211,0
214,1
238,0
261,0
270,0
291,0
353,0
372,0
373,0
381,0
393,0
406,0
407,0
442,0
530,0
570,0
583,0
591,0
592,0
613,0
617,0
633,0
641,0
656,0
693,0
696,0
711,0
717,0
725,0
735,0
754,1
784,0
798,0
808,1
837,0
856,1
913,0
923,0
926,0
931,0
1007,0
1017,1
1035,0
1037,0
1060,0
1088,0
1099,1
1115,1
1175,1
1199,0
1246,1
1247,0
1253,1
1266,1
1286,1
1288,0
1293,0
1303,1
1309,0
1321,0
1377,0
1384,0
1405,0
1413,0
1459,0
1484,0
1494,0
1498,0
1500,0
1544,1
1551,0
1604,0
1605,0
1616,0
1633,0
1635,0
1682,0
1720,0
1755,0
1757,0
1764,0
1782,0
1826,1
1828,0
1833,0
1865,0
1930,0
1974,0
1978,0
