task,truth
18,0
33,0
68,0
101,1
103,0
124,0
152,0
162,0
166,0
196,0
213,0
217,0
228,1
246,0
281,0
378,0
420,0
426,0
429,0
432,0
437,0
452,0
470,0
483,0
489,0
494,0
499,0
514,1
516,0
546,0
597,0
625,0
638,0
641,0
680,0
762,1
808,1
823,0
828,0
850,0
863,0
927,0
949,0
975,0
1019,0
1085,1
1090,1
1097,0
1107,0
1110,0
1126,0
1151,0
1153,0
1158,1
1177,0
1197,0
1198,0
1213,0
1214,0
1235,0
1244,0
1247,0
1248,1
1261,1
1266,1
1326,0
1333,0
1346,0
1419,0
1437,0
1453,0
1461,0
1482,1
1484,0
1501,0
1569,0
1581,0
1584,0
1587,0
1589,0
1616,0
1619,0
1634,1
1636,0
1656,0
1682,0
1689,0
1711,0
1720,0
1723,0
1823,1
1887,1
1891,0
1911,0
1919,0
1924,1
1941,0
1976,1
1989,0
1998,0
