task,truth
5,1
37,0
51,0
52,1
85,0
106,1
120,0
128,0
136,0
171,0
172,0
186,0
206,0
208,0
210,0
216,0
247,0
251,0
259,0
270,0
282,0
296,0
302,1
323,0
363,0
373,0
391,0
404,0
428,0
429,0
466,0
503,1
527,0
534,0
548,0
558,0
573,0
596,0
615,0
620,0
623,0
664,0
669,0
711,0
718,0
723,0
741,0
753,0
777,0
783,0
821,1
837,0
851,0
860,0
936,0
976,0
998,0
1007,0
1016,1
1025,0
1040,1
1061,1
1081,0
1109,0
1110,0
1287,0
1297,0
1420,0
1439,0
1515,0
1527,0
1537,0
1540,0
1555,0
1576,0
1586,0
1589,0
1592,0
1608,0
1610,0
1615,0
1652,0
1657,0
1683,0
1685,1
1692,0
1712,0
1759,0
1761,0
1766,0
1800,0
1802,0
1822,0
1845,0
1861,1
1894,0
1917,0
1922,0
1953,1
1994,1
