task,truth
18,0
20,0
29,0
80,1
88,0
98,0
100,1
105,0
110,0
122,0
126,0
156,0
168,1
180,0
203,0
205,0
210,0
229,0
235,0
263,0
278,0
337,0
346,0
399,0
402,0
433,0
455,0
493,0
503,1
538,0
553,0
578,0
596,0
616,0
618,0
650,0
678,1
687,1
732,0
768,0
769,0
774,0
803,0
841,0
872,0
873,0
908,0
974,1
979,0
985,1
1050,0
1058,0
1064,0
1082,0
1088,0
1118,0
1158,1
1189,0
1215,0
1222,0
1234,0
1256,0
1306,1
1356,1
1386,0
1398,0
1415,0
1430,0
1434,0
1440,0
1452,1
1462,0
1502,0
1522,0
1525,0
1598,0
1607,0
1614,0
1621,0
1622,1
1625,0
1642,0
1671,0
1700,0
1713,1
1720,0
1721,0
1753,0
1775,0
1776,0
1777,1
1832,0
1861,1
1874,0
1878,0
1890,0
1925,0
1955,0
1960,1
1992,0
