worker,task,answer
0.0,4,1
0.0,6,0
0.0,19,1
0.0,21,0
0.0,22,0
0.0,42,1
2.0,5,0
2.0,6,1
2.0,7,1
2.0,10,0
2.0,23,1
2.0,48,0
2.0,49,1
11.0,11,1
11.0,14,0
11.0,20,1
11.0,23,0
11.0,26,0
11.0,28,0
11.0,36,0
11.0,37,0
11.0,48,0
12.0,37,0
12.0,42,1
12.0,46,1
13.0,2,1
13.0,16,1
13.0,29,1
13.0,30,0
13.0,31,1
13.0,45,0
14.0,2,1
14.0,6,0
14.0,13,0
14.0,17,0
14.0,21,0
14.0,38,1
14.0,39,0
14.0,40,0
18.0,4,1
18.0,7,0
18.0,18,1
18.0,21,1
18.0,30,0
18.0,36,1
19.0,9,1
19.0,18,1
20.0,3,1
20.0,9,1
20.0,11,1
20.0,21,1
20.0,23,0
20.0,30,0
20.0,32,0
20.0,36,1
20.0,38,0
21.0,1,1
21.0,4,1
21.0,7,1
21.0,9,1
21.0,14,1
21.0,17,1
21.0,18,1
21.0,25,0
21.0,27,0
21.0,45,0
30.0,3,1
30.0,17,1
30.0,24,0
30.0,25,1
30.0,26,1
30.0,37,1
33.0,19,1
33.0,43,0
34.0,7,1
34.0,18,1
34.0,27,0
34.0,28,1
34.0,31,1
34.0,36,1
34.0,42,0
34.0,44,1
34.0,46,0
40.0,4,1
40.0,8,1
40.0,9,1
40.0,20,0
40.0,25,1
40.0,30,1
41.0,26,1
41.0,35,0
41.0,47,0
42.0,7,1
42.0,44,0
46.0,6,0
46.0,8,1
46.0,34,0
46.0,38,0
49.0,1,0
49.0,7,0
49.0,11,1
49.0,23,0
49.0,41,0
49.0,43,0
49.0,47,1
54.0,13,0
54.0,17,0
54.0,25,1
54.0,26,0
54.0,35,0
55.0,14,1
55.0,17,1
55.0,27,1
55.0,36,0
55.0,37,0
55.0,38,0
55.0,45,0
55.0,48,1
56.0,23,0
56.0,41,1
66.0,13,1
66.0,16,1
67.0,16,1
67.0,17,1
67.0,25,0
67.0,35,0
67.0,44,1
69.0,0,0
69.0,3,1
69.0,27,1
71.0,3,1
71.0,12,1
71.0,13,1
71.0,17,1
71.0,23,1
71.0,33,0
71.0,49,0
72.0,14,0
72.0,27,0
72.0,42,0
76.0,18,1
76.0,19,1
76.0,20,0
76.0,33,0
76.0,44,0
85.0,10,0
85.0,13,0
85.0,23,1
85.0,27,0
85.0,42,0
85.0,44,0
89.0,6,1
89.0,26,0
89.0,29,1
89.0,43,1
89.0,47,1
104.0,0,1
104.0,3,1
104.0,11,1
104.0,19,0
104.0,20,0
104.0,39,1
104.0,48,1
105.0,20,0
105.0,22,0
105.0,32,1
105.0,41,1
105.0,43,1
105.0,47,1
105.0,49,1
110.0,20,1
110.0,29,1
110.0,37,0
111.0,8,0
111.0,15,0
111.0,29,1
111.0,30,1
111.0,33,1
111.0,39,1
111.0,49,1
116.0,2,1
116.0,18,0
116.0,38,1
116.0,41,1
119.0,6,1
119.0,13,0
119.0,18,0
119.0,27,0
125.0,15,0
125.0,16,1
125.0,25,1
125.0,39,1
125.0,45,1
128.0,8,0
128.0,26,1
128.0,46,1
132.0,18,0
132.0,25,1
133.0,2,0
133.0,4,0
133.0,10,1
133.0,15,0
133.0,20,0
133.0,21,0
133.0,24,1
133.0,28,0
133.0,34,0
135.0,0,0
135.0,29,1
135.0,36,0
141.0,4,0
141.0,16,0
141.0,27,1
141.0,42,0
147.0,2,1
147.0,3,1
147.0,14,0
147.0,28,1
147.0,40,1
149.0,0,1
149.0,11,1
149.0,12,1
149.0,22,0
149.0,27,0
149.0,28,1
