task,truth
3,0
42,0
60,1
66,0
76,1
78,1
94,0
96,0
105,0
119,0
158,0
163,0
229,0
243,0
248,1
289,0
293,0
336,0
363,0
367,0
407,0
432,0
455,0
484,0
499,0
540,0
574,0
594,0
660,0
667,0
669,0
675,0
689,0
735,0
744,1
746,0
748,1
754,1
762,1
813,0
851,0
876,0
878,0
881,0
951,0
962,0
1018,1
1033,0
1036,0
1052,0
1089,0
1104,0
1167,0
1174,0
1212,0
1226,0
1253,1
1271,1
1277,0
1287,0
1298,0
1300,1
1310,0
1334,0
1361,0
1369,0
1378,0
1379,0
1405,0
1423,0
1435,0
1441,0
1448,0
1479,0
1482,1
1484,0
1493,0
1494,0
1551,0
1558,0
1565,0
1588,0
1654,0
1727,0
1733,0
1758,0
1789,1
1800,0
1812,0
1817,0
1833,0
1846,0
1854,0
1861,1
1879,1
1902,0
1905,1
1927,1
1934,0
1993,0
