task,truth
2,0
35,0
49,0
52,1
67,0
72,0
85,0
113,0
141,0
142,0
160,0
174,0
213,0
215,0
255,1
261,0
320,0
335,0
390,0
402,0
412,0
470,0
474,0
515,0
524,0
545,0
555,0
592,0
609,0
614,0
633,0
638,0
641,0
703,0
718,0
767,0
773,0
791,0
823,0
835,0
867,1
879,0
883,0
931,0
940,0
966,1
969,0
980,0
987,0
997,0
1000,0
1009,0
1098,0
1100,0
1110,0
1116,0
1201,0
1237,0
1265,1
1269,0
1275,0
1293,0
1342,0
1359,0
1368,1
1374,0
1400,0
1419,0
1451,0
1455,1
1486,0
1496,1
1500,0
1527,0
1539,0
1544,1
1598,0
1600,0
1613,0
1625,0
1637,0
1687,0
1689,0
1705,0
1711,0
1712,0
1760,1
1776,0
1786,0
1787,0
1790,0
1796,0
1799,0
1802,0
1896,1
1922,0
1932,0
1948,0
1949,0
1986,0
