task,truth
16,0
29,0
30,0
63,0
116,0
228,1
277,0
297,0
330,0
344,0
421,0
435,1
465,0
491,0
504,0
524,0
529,0
531,0
559,1
581,0
603,0
611,0
615,0
626,0
633,0
650,0
686,0
693,0
708,0
733,0
740,0
759,0
765,0
768,0
773,0
784,0
792,0
802,0
808,1
850,0
892,0
903,0
1019,0
1057,0
1075,0
1082,0
1124,0
1130,0
1133,0
1143,1
1153,0
1166,0
1172,0
1207,0
1210,0
1237,0
1271,1
1296,0
1301,0
1308,0
1338,0
1342,0
1347,0
1348,0
1360,0
1372,0
1401,0
1424,0
1444,1
1455,1
1464,0
1465,0
1483,0
1489,1
1509,0
1539,0
1586,0
1589,0
1620,0
1643,0
1644,0
1674,0
1698,0
1718,0
1720,0
1724,0
1743,0
1747,0
1765,0
1786,0
1806,0
1870,0
1884,0
1906,0
1923,0
1949,0
1963,0
1965,0
1973,0
1981,0
