task,truth
10,0
45,0
72,0
89,0
96,0
104,0
108,0
157,0
172,0
204,0
223,0
226,0
231,0
242,0
246,0
314,0
322,0
332,0
396,0
404,0
408,0
437,0
438,0
451,1
461,0
462,0
500,0
534,0
567,0
578,0
589,1
596,0
602,0
660,0
666,0
706,0
719,1
731,1
734,0
743,0
765,0
783,0
817,1
818,0
834,0
842,0
849,0
885,0
890,0
895,0
915,0
941,0
964,0
968,0
971,0
989,0
1025,0
1053,0
1066,0
1080,0
1098,0
1119,1
1143,1
1158,1
1232,0
1253,1
1299,0
1323,0
1363,0
1367,0
1369,0
1385,0
1386,0
1435,0
1436,0
1459,0
1477,0
1481,1
1491,1
1501,0
1519,0
1613,0
1676,0
1681,0
1710,0
1715,1
1762,0
1768,0
1794,0
1798,0
1801,0
1817,0
1819,0
1843,0
1845,0
1881,0
1943,0
1962,0
1971,0
1981,0
