task,truth
9,0
20,0
47,0
50,0
115,0
120,0
124,0
143,0
168,1
173,0
178,0
184,0
203,0
219,0
236,0
239,0
259,0
261,0
281,0
295,0
312,0
330,0
342,0
365,0
379,0
429,0
443,0
477,0
488,0
510,0
514,1
523,0
560,0
563,1
675,0
681,0
717,0
727,0
788,0
793,0
797,0
815,1
838,0
875,0
899,0
901,0
924,0
947,0
956,0
979,0
986,0
1002,0
1012,0
1016,1
1019,0
1022,0
1048,0
1076,0
1094,0
1108,0
1118,0
1121,0
1130,0
1133,0
1168,0
1192,0
1201,0
1229,0
1261,1
1295,0
1327,0
1356,1
1402,0
1433,0
1482,1
1497,0
1551,0
1554,0
1560,0
1624,0
1628,0
1640,0
1675,0
1677,0
1689,0
1717,0
1729,1
1731,0
1737,0
1742,0
1747,0
1754,1
1808,0
1874,0
1930,0
1946,0
1951,0
1967,1
1970,1
1991,0
