task,truth
1,1
4,0
27,0
44,0
65,0
87,0
92,0
99,0
108,0
140,0
147,0
155,0
160,0
171,0
217,0
265,0
341,0
379,0
531,0
546,0
551,0
552,0
553,0
566,0
579,0
600,0
608,0
620,0
623,0
658,0
692,0
714,0
759,0
776,0
778,0
798,0
801,0
830,0
859,0
876,0
878,0
947,0
949,0
951,0
954,0
955,0
980,0
997,0
1003,0
1010,0
1019,0
1055,0
1056,0
1063,1
1118,0
1150,0
1163,0
1179,0
1191,0
1206,0
1250,0
1300,1
1347,0
1363,0
1378,0
1385,0
1391,0
1409,0
1431,0
1461,0
1467,0
1473,0
1479,0
1486,0
1503,0
1515,0
1519,0
1532,0
1541,0
1589,0
1618,0
1641,0
1647,0
1668,0
1671,0
1695,0
1720,0
1750,0
1778,0
1782,0
1806,0
1833,0
1892,0
1897,0
1898,1
1905,1
1911,0
1949,0
1956,0
1987,0
