task,truth
41,0
64,0
91,0
118,0
261,0
265,0
287,0
293,0
316,1
343,0
370,0
431,0
452,0
514,1
599,1
610,0
675,0
701,0
703,0
718,0
719,1
744,1
757,0
763,1
800,0
802,0
886,0
912,1
914,0
925,0
973,0
1043,0
1055,0
1066,0
1069,0
1076,0
1092,0
1102,0
1133,0
1145,0
1151,0
1167,0
1210,0
1229,0
1268,0
1290,0
1313,0
1317,0
1330,1
1340,1
1355,0
1369,0
1391,0
1411,0
1416,0
1490,0
1499,0
1515,0
1540,0
1566,0
1570,0
1697,0
1710,0
1739,0
1748,0
1753,0
1760,1
1801,0
1835,0
1850,0
1863,0
1890,0
1893,0
1896,1
1916,0
1933,0
1946,0
1956,0
1960,1
1971,0
