task,truth
30,0
37,0
70,0
115,0
122,0
161,0
193,0
194,0
196,0
212,0
220,0
311,0
349,1
359,0
374,0
408,0
416,0
436,0
451,1
484,0
524,0
532,0
549,0
580,0
581,0
615,0
619,0
631,0
715,0
735,0
742,0
771,0
773,0
780,0
785,0
795,0
866,0
876,0
896,1
904,0
915,0
962,0
1005,0
1007,0
1057,0
1060,0
1080,0
1091,1
1098,0
1137,0
1149,0
1156,0
1159,0
1165,0
1232,0
1336,0
1372,0
1398,0
1426,1
1436,0
1462,0
1543,0
1578,0
1582,0
1587,0
1595,0
1623,0
1652,0
1661,0
1666,0
1713,1
1717,0
1778,0
1796,0
1823,1
1841,0
1894,0
1965,0
1988,0
1994,1
