task,truth
26,0
105,0
136,0
139,0
180,0
192,0
208,0
219,0
230,0
235,0
245,0
252,1
264,0
281,0
301,0
326,0
327,0
342,0
346,0
353,0
363,0
364,0
433,0
448,0
468,0
476,0
488,0
511,0
534,0
536,0
578,0
618,0
631,0
644,0
662,0
687,1
712,0
725,0
780,0
784,0
801,0
814,1
845,0
867,1
871,0
890,0
897,0
899,0
927,0
945,1
971,0
973,0
992,1
1012,0
1031,0
1042,0
1062,0
1219,0
1228,0
1235,0
1252,0
1257,1
1271,1
1276,0
1290,0
1314,0
1320,0
1335,0
1351,0
1362,0
1368,1
1377,0
1443,0
1504,0
1523,0
1528,0
1534,0
1561,0
1608,0
1617,0
1643,0
1650,0
1686,0
1703,0
1709,0
1714,0
1733,0
1746,0
1760,1
1766,0
1791,1
1839,0
1844,0
1909,0
1914,0
1922,0
1926,1
1930,0
1967,1
1994,1
