task,truth
56,0
80,1
90,0
106,1
108,0
132,0
154,0
176,0
185,0
204,0
283,0
303,0
307,0
321,1
346,0
359,0
438,0
457,0
463,0
464,0
494,0
498,0
511,0
533,0
547,1
565,0
583,0
596,0
603,0
620,0
622,0
628,0
630,0
637,0
638,0
700,0
714,0
727,0
752,0
755,0
769,0
775,1
793,0
796,0
808,1
856,1
900,0
903,0
923,0
929,0
938,0
996,0
1002,0
1005,0
1036,0
1051,0
1053,0
1083,0
1084,0
1147,0
1157,0
1177,0
1262,0
1277,0
1285,0
1293,0
1298,0
1356,1
1450,0
1478,0
1489,1
1498,0
1506,0
1550,0
1555,0
1583,0
1586,0
1587,0
1618,0
1650,0
1674,0
1701,0
1705,0
1709,0
1739,0
1740,0
1762,0
1788,0
1792,0
1809,0
1830,0
1831,0
1843,0
1859,0
1877,1
1928,0
1936,0
1944,0
1949,0
1969,0
