task,truth
20,0
29,0
35,0
41,0
58,0
61,0
76,1
84,0
113,0
129,0
148,0
150,0
153,0
179,1
231,0
287,0
289,0
328,0
330,0
429,0
451,1
459,1
482,1
483,0
501,0
518,0
527,0
571,0
601,0
606,0
614,0
660,0
666,0
673,0
674,0
705,0
729,0
787,0
864,0
870,0
874,1
908,0
910,0
912,1
944,0
957,0
958,0
975,0
985,1
999,0
1007,0
1023,0
1052,0
1087,0
1113,0
1118,0
1129,0
1130,0
1151,0
1160,0
1164,0
1199,0
1218,0
1238,0
1261,1
1278,0
1287,0
1308,0
1319,1
1324,0
1383,0
1403,0
1421,0
1442,0
1464,0
1469,1
1514,0
1521,0
1529,1
1544,1
1577,0
1590,0
1621,0
1648,0
1692,0
1702,0
1747,0
1767,0
1787,0
1799,0
1800,0
1814,0
1838,0
1880,0
1900,0
1922,0
1925,0
1932,0
1984,0
1992,0
