task,truth
4,0
24,0
32,0
76,1
113,0
116,0
155,0
176,0
223,0
224,0
263,0
264,0
268,0
285,0
309,0
314,0
361,0
375,0
392,0
394,0
425,0
444,1
452,0
464,0
474,0
479,0
481,0
497,0
556,0
569,1
576,0
577,0
579,0
587,0
591,0
614,0
630,0
633,0
669,0
698,0
768,0
790,0
825,0
828,0
855,0
908,0
913,0
918,0
921,0
952,0
972,0
976,0
1027,0
1031,0
1032,1
1038,1
1073,0
1106,1
1119,1
1128,0
1138,0
1139,0
1170,1
1204,0
1205,0
1239,0
1292,0
1329,1
1334,0
1348,0
1385,0
1412,1
1420,0
1421,0
1422,0
1464,0
1483,0
1488,0
1495,0
1497,0
1502,0
1522,0
1536,0
1581,0
1598,0
1610,0
1650,0
1658,0
1661,0
1667,0
1681,0
1699,0
1752,0
1778,0
1863,0
1897,0
1933,0
1952,0
1966,0
1967,1
