task,truth
8,0
19,0
48,0
116,0
129,0
131,0
169,0
196,0
212,0
251,0
282,0
289,0
297,0
317,0
322,0
324,0
342,0
346,0
360,0
389,0
430,0
470,0
479,0
484,0
499,0
505,0
555,0
600,0
627,0
635,0
644,0
649,0
677,0
733,0
735,0
739,0
745,0
774,0
778,0
823,0
890,0
902,0
905,0
959,0
966,1
974,1
988,1
1008,0
1023,0
1034,1
1041,0
1046,0
1099,1
1122,1
1152,0
1158,1
1163,0
1176,0
1177,0
1188,0
1190,0
1217,0
1261,1
1268,0
1275,0
1277,0
1314,0
1317,0
1327,0
1370,0
1371,0
1379,0
1409,0
1463,1
1483,0
1535,0
1556,0
1572,0
1587,0
1588,0
1602,1
1626,0
1675,0
1678,1
1681,0
1682,0
1696,0
1727,0
1745,0
1786,0
1797,0
1815,0
1822,0
1825,1
1910,0
1913,0
1923,0
1934,0
1939,0
1984,0
