task,truth
23,1
33,0
34,0
72,0
102,0
110,0
175,0
181,0
185,0
220,0
245,0
255,1
275,0
333,0
347,0
348,0
349,1
363,0
370,0
396,0
415,0
422,0
440,0
472,0
534,0
539,0
550,0
594,0
599,1
608,0
614,0
627,0
639,0
654,1
683,0
686,0
718,0
739,0
777,0
786,0
789,0
799,0
812,0
815,1
827,0
862,0
877,0
894,0
914,0
929,0
936,0
959,0
979,0
1031,0
1047,0
1091,1
1098,0
1160,0
1186,0
1188,0
1189,0
1229,0
1235,0
1238,0
1244,0
1248,1
1259,0
1265,1
1289,1
1301,0
1340,1
1346,0
1381,0
1395,0
1411,0
1433,0
1446,0
1491,1
1512,0
1526,0
1527,0
1553,0
1577,0
1604,0
1612,0
1640,0
1646,0
1665,0
1721,0
1747,0
1754,1
1773,1
1812,0
1837,1
1846,0
1855,0
1870,0
1897,0
1970,1
1994,1
