task,truth
4,0
50,0
114,0
115,0
161,0
173,0
188,1
199,0
209,0
217,0
284,0
303,0
305,0
308,0
324,0
333,0
349,1
357,0
374,0
377,0
384,0
454,0
459,1
473,0
535,0
597,0
630,0
637,0
640,0
681,0
686,0
728,0
731,1
838,0
845,0
846,0
873,0
915,0
933,0
953,0
977,0
979,0
991,0
999,0
1015,0
1034,1
1069,0
1117,0
1134,0
1140,0
1150,0
1160,0
1170,1
1196,0
1199,0
1205,0
1208,0
1211,0
1218,0
1236,0
1248,1
1259,0
1274,0
1279,0
1281,0
1285,0
1293,0
1308,0
1360,0
1368,1
1398,0
1451,0
1462,0
1496,1
1508,0
1519,0
1552,0
1575,0
1590,0
1602,1
1635,0
1641,0
1642,0
1648,0
1667,0
1679,0
1688,0
1693,0
1698,0
1712,0
1714,0
1731,0
1773,1
1829,0
1857,1
1885,0
1900,0
1904,0
1907,0
1995,1
