task,truth
0,0
5,1
81,0
96,0
148,0
201,0
272,0
287,0
309,0
338,0
345,0
368,1
407,0
440,0
441,1
470,0
472,0
508,0
529,0
539,0
540,0
566,0
580,0
581,0
648,0
660,0
661,0
675,0
708,0
711,0
739,0
764,0
769,0
783,0
804,0
806,0
809,0
829,0
855,0
857,0
895,0
907,0
921,0
939,0
966,1
1005,0
1041,0
1045,0
1048,0
1049,0
1068,0
1090,1
1093,0
1143,1
1169,0
1193,0
1245,0
1246,1
1264,0
1270,0
1284,0
1315,0
1334,0
1351,0
1374,0
1396,1
1399,0
1405,0
1448,0
1458,0
1463,1
1467,0
1493,0
1497,0
1503,0
1517,1
1550,0
1554,0
1555,0
1560,0
1576,0
1577,0
1582,0
1597,0
1636,0
1640,0
1663,0
1684,0
1686,0
1711,0
1716,1
1729,1
1754,1
1763,0
1770,0
1896,1
1926,1
1971,0
1983,0
1991,0
