worker,task,answer
AF3G0V1QQAU80,601,0
A3TSHG5R492EHU,601,0
A1SCNO7L71ITFY,601,1
A3U1K9X1LXA5JA,601,0
A1264GOK2Z3WSE,601,0
A1SCNO7L71ITFY,602,0
ARX0S1CIDJLOX,602,0
A1YW00TFC187CC,602,0
A3TSHG5R492EHU,602,0
A3QTDW5WP4GFKV,602,0
A2N2KQXUPLNDWI,603,0
A2460QZM5TZC4V,603,0
A3OZ8KF0HWSVWK,603,0
A1OI81FMMZ26J7,603,0
A17G2QHR8AH5VV,603,0
A1C8QK1FPEOOZN,604,1
A3U1K9X1LXA5JA,604,0
A1SCNO7L71ITFY,604,0
A3TSHG5R492EHU,604,0
A2QNS7MODF0A2N,604,0
A3OZ8KF0HWSVWK,605,0
A2H3M1JVY991Q3,605,1
A1YW00TFC187CC,605,0
A2460QZM5TZC4V,605,0
A1C8QK1FPEOOZN,605,0
A3TSHG5R492EHU,606,0
A2N2KQXUPLNDWI,606,0
A3D8YDQP3CFFT,606,0
A3CMYDBINK8ZS2,606,0
A3P08N6X9HDJ2V,606,0
A3CMYDBINK8ZS2,607,1
A32JS1R9V5LB78,607,1
AADB14P6ZCSOC,607,1
A1OI81FMMZ26J7,607,1
A1SCNO7L71ITFY,607,0
A2H3M1JVY991Q3,608,0
A3OZ8KF0HWSVWK,608,0
A2QNS7MODF0A2N,608,1
A1YW00TFC187CC,608,1
A3TSHG5R492EHU,608,0
A17G2QHR8AH5VV,609,0
A37TAQZGFFIPF6,609,1
A3CMYDBINK8ZS2,609,1
A3OZ8KF0HWSVWK,609,0
A1OI81FMMZ26J7,609,1
A25JF6K0WTD7RD,610,0
ARX0S1CIDJLOX,610,0
A3TSHG5R492EHU,610,0
A29PMRCRJ7Q9ZD,610,0
A2NBP5OTOYX3WK,610,0
A2460QZM5TZC4V,611,0
A1SCNO7L71ITFY,611,0
A3QTDW5WP4GFKV,611,0
A3D8YDQP3CFFT,611,0
A3TSHG5R492EHU,611,0
A3TSHG5R492EHU,612,0
A1YW00TFC187CC,612,0
A29PMRCRJ7Q9ZD,612,1
A1SCNO7L71ITFY,612,0
A2NBP5OTOYX3WK,612,0
A1C8QK1FPEOOZN,613,0
A3TSHG5R492EHU,613,0
A17G2QHR8AH5VV,613,0
A2NBP5OTOYX3WK,613,1
A2QNS7MODF0A2N,613,1
AADB14P6ZCSOC,614,1
A3TSHG5R492EHU,614,0
A3U1K9X1LXA5JA,614,1
A1D67BJW63N47G,614,1
A2F0NZQ8F9ON8C,614,1
A29PMRCRJ7Q9ZD,615,1
A39LJRF4LGAIX5,615,0
A1SCNO7L71ITFY,615,0
A3TSHG5R492EHU,615,0
A2NBP5OTOYX3WK,615,0
A29PMRCRJ7Q9ZD,616,0
A3D8YDQP3CFFT,616,0
A1SCNO7L71ITFY,616,0
A3QTDW5WP4GFKV,616,0
A2H3M1JVY991Q3,616,0
A37TAQZGFFIPF6,617,0
A3KUOOJQ1Y4QC0,617,1
AADB14P6ZCSOC,617,0
A2F0NZQ8F9ON8C,617,0
A3OZ8KF0HWSVWK,617,0
A39LJRF4LGAIX5,618,0
A3QTDW5WP4GFKV,618,1
A2N2KQXUPLNDWI,618,0
A2P37651146LL5,618,0
A3OZ8KF0HWSVWK,618,0
A20JR0E01UKKDC,619,1
ARX0S1CIDJLOX,619,1
AJWKHL2B85PZ9,619,1
A29PMRCRJ7Q9ZD,619,1
A2NBP5OTOYX3WK,619,1
A3TSHG5R492EHU,620,0
ARX0S1CIDJLOX,620,0
A2NDGTBR25ADTU,620,0
A2QNS7MODF0A2N,620,0
A1OI81FMMZ26J7,620,0
