task,truth
15,0
109,0
142,0
166,0
180,0
185,0
193,0
220,0
225,0
291,0
311,0
345,0
352,0
361,0
393,0
412,0
421,0
423,0
485,1
498,0
542,0
544,0
620,0
632,0
638,0
650,0
675,0
679,0
709,0
747,0
752,0
770,1
810,0
842,0
866,0
888,0
898,0
909,1
911,0
916,1
923,0
944,0
947,0
972,0
987,0
1000,0
1013,1
1136,0
1144,1
1148,0
1165,0
1166,0
1186,0
1221,1
1281,0
1284,0
1287,0
1312,0
1322,0
1344,0
1362,0
1365,0
1371,0
1384,0
1386,0
1391,0
1431,0
1441,0
1488,0
1501,0
1507,0
1511,1
1544,1
1553,0
1567,0
1578,0
1609,0
1616,0
1627,0
1630,0
1631,1
1651,0
1652,0
1656,0
1663,0
1667,0
1680,0
1683,0
1725,0
1730,0
1746,0
1758,0
1759,0
1809,0
1813,0
1821,0
1833,0
1868,1
1933,0
1954,0
