task,truth
28,0
56,0
84,0
134,1
161,0
253,0
272,0
304,0
305,0
311,0
318,0
377,0
438,0
450,0
456,0
516,0
528,0
545,0
553,0
572,0
597,0
599,1
638,0
646,0
648,0
669,0
692,0
702,0
728,0
747,0
771,0
779,0
805,0
826,0
833,0
843,0
876,0
897,0
908,0
909,1
917,0
940,0
947,0
977,0
997,0
999,0
1008,0
1028,0
1068,0
1085,1
1098,0
1127,0
1146,0
1149,0
1162,0
1208,0
1211,0
1216,1
1234,0
1280,0
1323,0
1325,0
1357,0
1365,0
1369,0
1373,0
1404,1
1418,0
1449,0
1454,0
1466,0
1475,0
1477,0
1487,0
1495,0
1512,0
1513,0
1531,1
1536,0
1540,0
1549,0
1552,0
1571,0
1597,0
1600,0
1612,0
1687,0
1745,0
1777,1
1785,0
1791,1
1793,0
1799,0
1807,0
1878,0
1907,0
1915,0
1974,0
1984,0
1993,0
