task,truth
7,0
16,0
18,0
20,0
23,1
27,0
87,0
89,0
91,0
99,0
223,0
255,1
264,0
276,1
318,0
324,0
330,0
333,0
422,0
513,0
529,0
547,1
564,0
588,0
591,0
602,0
649,0
678,1
691,0
699,0
704,0
724,0
728,0
738,0
749,1
772,0
868,0
871,0
876,0
885,0
887,1
901,0
918,0
922,0
935,0
939,0
972,0
977,0
983,0
1000,0
1004,1
1006,0
1035,0
1053,0
1074,0
1080,0
1107,0
1121,0
1208,0
1211,0
1217,0
1245,0
1249,0
1256,0
1257,1
1374,0
1390,0
1421,0
1426,1
1436,0
1456,0
1469,1
1480,0
1490,0
1519,0
1523,0
1559,0
1577,0
1633,0
1644,0
1654,0
1658,0
1670,0
1672,0
1786,0
1795,1
1842,0
1844,0
1846,0
1852,0
1857,1
1862,0
1902,0
1905,1
1907,0
1920,0
1936,0
1938,0
1953,1
1968,0
