task,truth
108,0
120,0
133,0
134,1
156,0
168,1
190,0
197,0
222,0
239,0
252,1
261,0
273,0
279,0
284,0
334,0
339,0
347,0
362,0
389,0
401,0
424,0
450,0
475,0
502,0
601,0
613,0
631,0
648,0
665,0
721,0
747,0
764,0
809,0
810,0
812,0
828,0
829,0
853,0
862,0
890,0
963,0
995,0
1016,1
1042,0
1045,0
1050,0
1086,0
1095,0
1100,0
1110,0
1113,0
1127,0
1140,0
1146,0
1154,0
1171,0
1175,1
1184,0
1246,1
1290,0
1313,0
1357,0
1376,0
1392,0
1394,1
1402,0
1428,0
1455,1
1471,0
1495,0
1496,1
1503,0
1525,0
1534,0
1563,0
1569,0
1602,1
1603,0
1621,0
1632,1
1649,0
1708,0
1714,0
1716,1
1747,0
1754,1
1766,0
1787,0
1807,0
1832,0
1837,1
1853,0
1900,0
1921,0
1937,0
1940,0
1941,0
1959,0
1964,0
