worker,task,answer
A12RE8G66WTO8B,4,3
A153PKAL7OAY36,4,3
A1HIXWH4OXT8S4,4,3
A20PWAB7G3HDHU,4,3
A2JP3HEL3J25AJ,4,3
A31OCN4MNHUQ6W,4,3
A3MA9V9UPGCOK7,4,3
A3N8SU0BDM9N36,4,3
ATVALOQVDCMZW,4,3
AVWJPWUEE3U4Q,4,3
A153PKAL7OAY36,15,0
A1T5QP821HMMGS,15,0
A2PPUWIXQTM43F,15,0
A317Q6CKB8GHBZ,15,3
A31OCN4MNHUQ6W,15,0
A361QEE8R11VE1,15,0
AA7JUQDEJKDB0,15,1
AOUMYCLO4I993,15,0
APYV9Y0DFZFVP,15,0
A1DCIXV1JC91MY,17,0
A21A79J5ZWD42K,17,0
A23YQUBXZPKILZ,17,0
A2JP3HEL3J25AJ,17,0
A31OCN4MNHUQ6W,17,0
A32W20KGQXS0LL,17,0
A3GE97GX3OXJTW,17,0
A3MA9V9UPGCOK7,17,0
AZ1S5BIG5R6P6,17,0
AZSDW7JJL5VA7,17,0
A153PKAL7OAY36,30,0
A21T6EF3XC7UMT,30,0
A22C0PJUBFJTI0,30,0
A28ZHJ9ASQ49IY,30,0
A31OCN4MNHUQ6W,30,0
A37YC0D90LZF2M,30,0
A3GE97GX3OXJTW,30,0
A3JMQDTEKRE5X6,30,0
APYV9Y0DFZFVP,30,0
AZSDW7JJL5VA7,30,0
A12RE8G66WTO8B,45,0
A153PKAL7OAY36,45,0
A1HIXWH4OXT8S4,45,0
A22C0PJUBFJTI0,45,0
A25LQC7UPMAADF,45,1
A2AWCNQUUXWYT0,45,1
A2PPUWIXQTM43F,45,1
A31OCN4MNHUQ6W,45,2
AMOMADKDPO6R5,45,1
ATVALOQVDCMZW,45,0
A1253FXHCZ9CWM,60,0
A25CRC4AZY5KC1,60,0
A29PUIKL3JWDP8,60,0
A2BTR0GQ5B5JI6,60,0
A2ITXTZLLTI4GO,60,0
A2JP3HEL3J25AJ,60,0
A2QJU93US627QI,60,0
A3GE97GX3OXJTW,60,0
A3JMQDTEKRE5X6,60,0
A8XTEV2JA6R2X,60,0
A1253FXHCZ9CWM,74,1
A153PKAL7OAY36,74,1
A1JTOT0DWM6QGL,74,1
A21T6EF3XC7UMT,74,2
A25LQC7UPMAADF,74,1
A28ZHJ9ASQ49IY,74,1
A31OCN4MNHUQ6W,74,2
A3CVCNNNRNO03T,74,1
A4X14HN0F6KVW,74,1
AVWJPWUEE3U4Q,74,1
A21A79J5ZWD42K,132,1
A2BTR0GQ5B5JI6,132,3
A2TQBNHGF2YP2E,132,2
A2VL24C5P7Y3DJ,132,3
A3FN8S0N5JNAL6,132,1
A3GE97GX3OXJTW,132,2
A3NN88JE3JU6SK,132,3
ALDSIOBRWMZSI,132,3
ATVALOQVDCMZW,132,2
AVWJPWUEE3U4Q,132,2
A21A79J5ZWD42K,134,1
A2BTR0GQ5B5JI6,134,3
A2TQBNHGF2YP2E,134,2
A2VL24C5P7Y3DJ,134,3
A3FN8S0N5JNAL6,134,1
A3GE97GX3OXJTW,134,3
A3NN88JE3JU6SK,134,3
ALDSIOBRWMZSI,134,3
ATVALOQVDCMZW,134,2
AVWJPWUEE3U4Q,134,2
A153PKAL7OAY36,155,3
A1DCIXV1JC91MY,155,2
A28ZHJ9ASQ49IY,155,3
A2DO3HBE5HGVEN,155,3
A2FF1R5VPUVTLE,155,3
A2VL24C5P7Y3DJ,155,1
A37YC0D90LZF2M,155,3
A3A3J87AG178Z,155,3
A3MA9V9UPGCOK7,155,3
AJ2FPCR76ETE2,155,3
A1LIJDLQHS5AOO,185,0
A1PAOT8DIO3LCM,185,0
A1PXXEOGQ76RNJ,185,0
A21US576U8SCO4,185,0
A29T6EIMK6R7O0,185,0
A2BTR0GQ5B5JI6,185,0
A2JP3HEL3J25AJ,185,0
A2MC38IV7L231H,185,1
A2PPUWIXQTM43F,185,0
A32NMQRHD2C7R5,185,0
A3477QYMFXUC4I,185,0
A3GE97GX3OXJTW,185,0
A3MA9V9UPGCOK7,185,0
A3MU5NDVE8YATT,185,3
A3TB4II4CVRKBC,185,0
ANC9EWZTGN5HK,185,0
ATAMRO447HWJQ,185,0
ATFH1OABZJL68,185,0
AUJ5WUN40KW59,185,0
AZSDW7JJL5VA7,185,0
A1253FXHCZ9CWM,216,0
A2AJO7WHWIKEHR,216,0
A2U0R4X38GUKZE,216,0
A2VL24C5P7Y3DJ,216,3
A35GER5TWMH9VP,216,0
A3FN8S0N5JNAL6,216,0
A3FWALK6TSJ3YF,216,0
A3GE97GX3OXJTW,216,0
A3JMQDTEKRE5X6,216,0
A3MA9V9UPGCOK7,216,0
A2BTR0GQ5B5JI6,233,0
A2DO3HBE5HGVEN,233,0
A2JP3HEL3J25AJ,233,0
A2U0R4X38GUKZE,233,0
A31OCN4MNHUQ6W,233,0
A3CVCNNNRNO03T,233,0
A3IP9KYNZZ028B,233,0
A3JMQDTEKRE5X6,233,0
A3MU5NDVE8YATT,233,1
AZSDW7JJL5VA7,233,0
A153PKAL7OAY36,269,3
A18HIFA78GUAG9,269,2
A1T5QP821HMMGS,269,3
A2AJO7WHWIKEHR,269,1
A2DO3HBE5HGVEN,269,1
A2NVEB91139A29,269,3
A31OCN4MNHUQ6W,269,3
A3CVCNNNRNO03T,269,1
ATVALOQVDCMZW,269,2
AZSDW7JJL5VA7,269,3
A153PKAL7OAY36,281,3
A1HIXWH4OXT8S4,281,2
A204NDFTMBY7KJ,281,3
A20PWAB7G3HDHU,281,2
A21A79J5ZWD42K,281,3
A2AJO7WHWIKEHR,281,2
A3477QYMFXUC4I,281,2
A3MU5NDVE8YATT,281,2
AC0YIZF6G5V9G,281,2
ATVALOQVDCMZW,281,2
