worker,task,answer
A2BTR0GQ5B5JI6,18,3
A2QJU93US627QI,18,0
A31OCN4MNHUQ6W,18,0
A3MA9V9UPGCOK7,18,0
AJSJVK40F5HM6,18,0
A153PKAL7OAY36,51,0
A1O659IFB3TIDJ,51,0
A2BTR0GQ5B5JI6,51,0
A2FDPXPDSAUVUA,51,0
A2U0R4X38GUKZE,51,0
A31OCN4MNHUQ6W,51,0
A3GE97GX3OXJTW,51,0
AZ1S5BIG5R6P6,51,0
AZSDW7JJL5VA7,51,0
A153PKAL7OAY36,91,0
A1DCIXV1JC91MY,91,0
A23YQUBXZPKILZ,91,0
A25CRC4AZY5KC1,91,0
A28ZHJ9ASQ49IY,91,0
A2BTR0GQ5B5JI6,91,0
A2ITXTZLLTI4GO,91,0
A31OCN4MNHUQ6W,91,0
A3220HG1O83HQ4,91,0
A87Z6G612X6KZ,91,0
A25CRC4AZY5KC1,97,0
A2JP3HEL3J25AJ,97,0
A31OCN4MNHUQ6W,97,0
A32W20KGQXS0LL,97,0
A3CVCNNNRNO03T,97,1
A3MA9V9UPGCOK7,97,0
A3NN88JE3JU6SK,97,0
APYV9Y0DFZFVP,97,0
AZSDW7JJL5VA7,97,0
A1253FXHCZ9CWM,165,0
A1PXXEOGQ76RNJ,165,0
A1TRN3ZP7W1ACC,165,0
A21US576U8SCO4,165,0
A2AJO7WHWIKEHR,165,1
A2BLGVW3OGZJVU,165,1
A2BTR0GQ5B5JI6,165,0
A2DO3HBE5HGVEN,165,0
A2ITXTZLLTI4GO,165,1
A2JP3HEL3J25AJ,165,0
A2U0R4X38GUKZE,165,0
A31OCN4MNHUQ6W,165,0
A3J86MK3VIE6ST,165,0
A3MA9V9UPGCOK7,165,0
A3PE1HO8AO7S9Y,165,1
A4AD9ZMVU9SVA,165,0
A4GP97LAQCCHJ,165,0
AMIFAMFOZSX8I,165,0
APYV9Y0DFZFVP,165,0
ATAMRO447HWJQ,165,0
A153PKAL7OAY36,170,0
A21T6EF3XC7UMT,170,0
A22C0PJUBFJTI0,170,0
A2PBQYCW2URQT5,170,0
A31OCN4MNHUQ6W,170,0
A35GER5TWMH9VP,170,0
A3NN88JE3JU6SK,170,0
AOUMYCLO4I993,170,0
APYV9Y0DFZFVP,170,0
ATVALOQVDCMZW,170,0
A153PKAL7OAY36,206,1
A2FDPXPDSAUVUA,206,0
A2ITXTZLLTI4GO,206,0
A2JP3HEL3J25AJ,206,0
A2U0R4X38GUKZE,206,0
A31OCN4MNHUQ6W,206,0
A3477QYMFXUC4I,206,0
A35GER5TWMH9VP,206,0
A3MA9V9UPGCOK7,206,0
ATVALOQVDCMZW,206,0
A1253FXHCZ9CWM,227,0
A21A79J5ZWD42K,227,0
A25CRC4AZY5KC1,227,0
A2DO3HBE5HGVEN,227,0
A2JP3HEL3J25AJ,227,0
A2VL24C5P7Y3DJ,227,0
A31OCN4MNHUQ6W,227,0
A35GER5TWMH9VP,227,0
A37YC0D90LZF2M,227,0
AQRPHU8V49305,227,0
A153PKAL7OAY36,239,0
A1JTOT0DWM6QGL,239,0
A22C0PJUBFJTI0,239,0
A31OCN4MNHUQ6W,239,0
A3FN8S0N5JNAL6,239,0
A3GE97GX3OXJTW,239,0
A3N8SU0BDM9N36,239,0
AOUMYCLO4I993,239,0
APYV9Y0DFZFVP,239,0
ATVALOQVDCMZW,239,0
A153PKAL7OAY36,264,0
A22C0PJUBFJTI0,264,1
A28ZHJ9ASQ49IY,264,0
A2BTR0GQ5B5JI6,264,0
A31OCN4MNHUQ6W,264,0
A3GE97GX3OXJTW,264,0
A3JMQDTEKRE5X6,264,0
AC0YIZF6G5V9G,264,0
ATVALOQVDCMZW,264,1
AVWJPWUEE3U4Q,264,1
