task,truth
9,0
16,0
19,0
86,0
104,0
111,0
127,0
137,0
146,0
185,0
197,0
212,0
248,1
278,0
300,0
302,1
334,0
356,0
361,0
364,0
371,0
375,0
381,0
411,0
424,0
429,0
457,0
477,0
499,0
568,1
630,0
697,0
698,0
714,0
718,0
752,0
796,0
802,0
822,0
845,0
863,0
867,1
886,0
887,1
928,0
948,0
972,0
1014,0
1063,1
1072,0
1089,0
1096,0
1102,0
1141,0
1152,0
1166,0
1176,0
1210,0
1216,1
1217,0
1227,0
1246,1
1272,0
1346,0
1375,0
1427,0
1431,0
1436,0
1501,0
1514,0
1569,0
1570,0
1571,0
1597,0
1599,0
1605,0
1626,0
1641,0
1664,0
1667,0
1670,0
1681,0
1694,0
1735,0
1740,0
1742,0
1747,0
1766,0
1772,0
1786,0
1826,1
1853,0
1872,0
1882,0
1914,0
1927,1
1943,0
1952,0
1986,0
1997,0
