task,truth
8,0
10,0
50,0
51,0
59,1
74,1
119,0
133,0
135,1
140,0
146,0
157,0
193,0
216,0
238,0
271,0
306,1
329,0
399,0
405,1
421,0
430,0
441,1
489,0
493,0
523,0
524,0
538,0
563,1
601,0
615,0
623,0
624,0
629,0
703,0
738,0
752,0
758,0
769,0
785,0
797,0
835,0
898,0
900,0
907,0
914,0
920,0
933,0
944,0
949,0
980,0
992,1
1004,1
1040,1
1137,0
1150,0
1179,0
1180,0
1189,0
1205,0
1209,1
1282,1
1307,0
1325,0
1327,0
1361,0
1404,1
1407,0
1417,0
1432,0
1464,0
1488,0
1495,0
1601,1
1643,0
1663,0
1672,0
1679,0
1686,0
1691,1
1714,0
1720,0
1744,0
1747,0
1749,0
1752,0
1776,0
1840,0
1845,0
1847,0
1862,0
1868,1
1873,0
1880,0
1892,0
1893,0
1920,0
1925,0
1933,0
1991,0
