task,truth
2,0
30,0
33,0
62,0
71,0
96,0
144,1
172,0
191,0
236,0
242,0
257,1
281,0
299,1
345,0
359,0
370,0
377,0
389,0
436,0
438,0
446,0
461,0
463,0
474,0
475,0
503,1
505,0
508,0
529,0
543,0
578,0
632,0
633,0
671,0
678,1
685,1
693,0
696,0
704,0
734,0
742,0
764,0
788,0
796,0
834,0
857,0
916,1
923,0
963,0
1008,0
1062,0
1073,0
1147,0
1159,0
1166,0
1171,0
1173,1
1203,1
1208,0
1217,0
1222,0
1243,0
1290,0
1298,0
1355,0
1358,0
1359,0
1367,0
1372,0
1379,0
1380,0
1387,0
1398,0
1403,0
1411,0
1441,0
1458,0
1460,0
1481,1
1485,0
1499,0
1545,0
1554,0
1555,0
1680,0
1684,0
1726,1
1736,0
1792,0
1798,0
1801,0
1803,1
1832,0
1835,0
1937,0
1949,0
1961,0
1962,0
1988,0
