worker,task,answer
A153PKAL7OAY36,8,0
A1HIXWH4OXT8S4,8,0
A1XFA0A9Z3LAZJ,8,0
A23YQUBXZPKILZ,8,0
A2PPUWIXQTM43F,8,0
A31OCN4MNHUQ6W,8,0
A8XTEV2JA6R2X,8,0
AJSJVK40F5HM6,8,0
APYV9Y0DFZFVP,8,0
ATVALOQVDCMZW,8,0
A153PKAL7OAY36,51,0
A1O659IFB3TIDJ,51,0
A2BTR0GQ5B5JI6,51,0
A2FDPXPDSAUVUA,51,0
A2U0R4X38GUKZE,51,0
A31OCN4MNHUQ6W,51,0
A3GE97GX3OXJTW,51,0
AZ1S5BIG5R6P6,51,0
AZSDW7JJL5VA7,51,0
A1253FXHCZ9CWM,75,1
A153PKAL7OAY36,75,1
A1JTOT0DWM6QGL,75,1
A21T6EF3XC7UMT,75,3
A25LQC7UPMAADF,75,1
A28ZHJ9ASQ49IY,75,2
A31OCN4MNHUQ6W,75,3
A3CVCNNNRNO03T,75,1
A4X14HN0F6KVW,75,2
AVWJPWUEE3U4Q,75,1
A1253FXHCZ9CWM,89,1
A153PKAL7OAY36,89,1
A22C0PJUBFJTI0,89,0
A31OCN4MNHUQ6W,89,0
A3220HG1O83HQ4,89,1
A35GER5TWMH9VP,89,0
A3CVCNNNRNO03T,89,0
A3JMQDTEKRE5X6,89,0
APYV9Y0DFZFVP,89,0
AVWJPWUEE3U4Q,89,1
A1DCIXV1JC91MY,96,0
A1JTOT0DWM6QGL,96,0
A2U0R4X38GUKZE,96,0
A2VL24C5P7Y3DJ,96,1
A3GE97GX3OXJTW,96,0
AMOMADKDPO6R5,96,0
APYV9Y0DFZFVP,96,0
ATVALOQVDCMZW,96,0
AZSDW7JJL5VA7,96,0
A25CRC4AZY5KC1,97,0
A2JP3HEL3J25AJ,97,0
A31OCN4MNHUQ6W,97,0
A32W20KGQXS0LL,97,0
A3CVCNNNRNO03T,97,1
A3MA9V9UPGCOK7,97,0
A3NN88JE3JU6SK,97,0
APYV9Y0DFZFVP,97,0
AZSDW7JJL5VA7,97,0
A20PWAB7G3HDHU,98,0
A22C0PJUBFJTI0,98,0
A2DO3HBE5HGVEN,98,0
A2PBQYCW2URQT5,98,0
A31OCN4MNHUQ6W,98,0
A35GER5TWMH9VP,98,0
A3GE97GX3OXJTW,98,0
APYV9Y0DFZFVP,98,0
ATVALOQVDCMZW,98,0
A2AJO7WHWIKEHR,268,0
A2AWCNQUUXWYT0,268,0
A2BTR0GQ5B5JI6,268,0
A2FDPXPDSAUVUA,268,0
A2ITXTZLLTI4GO,268,0
A2TQBNHGF2YP2E,268,0
A37IG1AU82PLU,268,0
A3FN8S0N5JNAL6,268,0
A3MU5NDVE8YATT,268,1
A3NN88JE3JU6SK,268,3
A153PKAL7OAY36,276,3
A23YQUBXZPKILZ,276,3
A25CRC4AZY5KC1,276,3
A2AJO7WHWIKEHR,276,3
A2BTR0GQ5B5JI6,276,3
A3220HG1O83HQ4,276,3
A3GE97GX3OXJTW,276,3
A3MA9V9UPGCOK7,276,3
APYV9Y0DFZFVP,276,3
AZSDW7JJL5VA7,276,3
A153PKAL7OAY36,277,3
A23YQUBXZPKILZ,277,3
A25CRC4AZY5KC1,277,3
A2AJO7WHWIKEHR,277,3
A2BTR0GQ5B5JI6,277,3
A3220HG1O83HQ4,277,3
A3GE97GX3OXJTW,277,3
A3MA9V9UPGCOK7,277,3
APYV9Y0DFZFVP,277,3
AZSDW7JJL5VA7,277,3
