task,truth
23,1
28,0
35,0
40,0
43,0
75,0
80,1
125,0
194,0
228,1
229,0
251,0
298,0
319,0
334,0
339,0
351,0
370,0
380,0
382,0
386,0
418,0
438,0
452,0
496,0
561,0
571,0
590,0
605,0
610,0
611,0
625,0
649,0
650,0
653,0
659,0
669,0
681,0
708,0
735,0
754,1
757,0
804,0
818,0
847,0
872,0
884,0
912,1
937,0
975,0
983,0
1011,0
1055,0
1071,0
1072,0
1088,0
1105,0
1106,1
1129,0
1147,0
1152,0
1168,0
1180,0
1195,0
1256,0
1356,1
1424,0
1432,0
1441,0
1474,0
1478,0
1485,0
1488,0
1496,1
1497,0
1522,0
1533,1
1544,1
1551,0
1558,0
1562,0
1579,0
1621,0
1645,0
1686,0
1699,0
1720,0
1726,1
1729,1
1775,0
1781,0
1823,1
1867,0
1874,0
1894,0
1922,0
1964,0
1981,0
1987,0
1993,0
