task,truth
20,0
51,0
58,0
113,0
127,0
132,0
147,0
210,0
215,0
224,0
246,0
299,1
314,0
381,0
409,0
431,0
435,1
437,0
439,0
472,0
504,0
536,0
573,0
578,0
586,1
639,0
657,0
662,0
674,0
699,0
707,0
721,0
732,0
746,0
749,1
753,0
771,0
773,0
780,0
820,0
827,0
858,0
864,0
886,0
889,0
954,0
981,0
994,0
998,0
1002,0
1013,1
1027,0
1057,0
1063,1
1078,0
1094,0
1110,0
1115,1
1116,0
1120,0
1169,0
1206,0
1207,0
1238,0
1241,0
1285,0
1320,0
1362,0
1365,0
1392,0
1445,0
1447,0
1448,0
1464,0
1473,0
1510,0
1514,0
1521,0
1534,0
1548,0
1556,0
1571,0
1589,0
1603,0
1607,0
1692,0
1704,0
1736,0
1748,0
1764,0
1782,0
1783,0
1824,0
1828,0
1839,0
1900,0
1920,0
1924,1
1957,0
1965,0
